"","author","journal","year","title"
"1","R Kolenda, M Burdukiewicz, P Schierack","Frontiers in cellular and infection microbiology",2015,"A systematic review and meta-analysis of the epidemiology of pathogenic Escherichia coli of calves and the role of calves as reservoirs for human pathogenic E. coli"
"2","J Schiebel, A Böhm, J Nitschke, M Burdukiewicz, J Weinreich, A Ali, ...","Applied and environmental microbiology",2017,"Genotypic and phenotypic characteristics associated with biofilm formation by human clinical Escherichia coli isolates of different pathotypes"
"3","M Burdukiewicz, P Sobczyk, S Rödiger, A Duda-Madej, P Mackiewicz, ...","Scientific reports",2017,"Amyloidogenic motifs revealed by n-gram analysis"
"4","AN Spiess, C Deutschmann, M Burdukiewicz, R Himmelreich, K Klat, ...","Clinical Chemistry",2015,"Impact of smoothing on parameter estimation in quantitative DNA amplification experiments"
"5","M Burdukiewicz, K Sidorczuk, D Rafacz, F Pietluch, J Chilimoniuk, ...","International Journal of Molecular Sciences",2020,"Proteomic Screening for Prediction and Design of Antimicrobial Peptides with AmpGram"
"6","S Rödiger, M Burdukiewicz, P Schierack","Bioinformatics",2015,"chipPCR: an R package to pre-process raw data of amplification curves"
"7","S Rödiger, M Burdukiewicz, K Blagodatskikh, M Jahn, P Schierack","R J.",2015,"R as an Environment for Reproducible Analysis of DNA Amplification Experiments."
"8","AN Spiess, S Rödiger, M Burdukiewicz, T Volksdorf, J Tellinghuisen","Scientific reports",2016,"System-specific periodicity in quantitative real-time polymerase chain reaction data questions threshold-based quantitation"
"9","F Dinter, M Burdukiewicz, P Schierack, W Lehmann, J Nestler, G Dame, ...","Analytical and bioanalytical chemistry",2019,"Simultaneous detection and quantification of DNA and protein biomarkers in spectrum of cardiovascular diseases in a microfluidic microbead chip"
"10","M Burdukiewicz, P Gagat, S Jabłoński, J Chilimoniuk, M Gaworski, ...","Environmental microbiology reports",2018,"PhyMet2: a database and toolkit for phylogenetic and metabolic analyses of methanogens"
"11","R Reimann, B Zeng, M Jakopec, M Burdukiewicz, I Petrick, P Schierack, ...","Algal Research",2020,"Classification of dead and living microalgae Chlorella vulgaris by bioimage informatics and machine learning"
"12","R Kolenda, M Burdukiewicz, J Schiebel, S Rödiger, L Sauer, I Szabo, ...","Frontiers in microbiology",2018,"Adhesion of Salmonella to Pancreatic Secretory Granule Membrane Major Glycoprotein GP2 of Human and Porcine Origin Depends on FimH Sequence Variation"
"13","OA Olowe, OJ Adefioye, TA Ajayeoba, J Schiebel, J Weinreich, A Ali, ...","Scientific African",2019,"Phylogenetic grouping and biofilm formation of multidrug resistant Escherichia coli isolates from humans, animals and food products in South-West Nigeria"
"14","M Burdukiewicz, P Sobczyk, J Chilimoniuk, P Gagat, P Mackiewicz","International Journal of Molecular Sciences",2018,"Prediction of Signal Peptides in Proteins from Malaria Parasites"
